Input Var1)DCOL-1 - Condenser_Specification_Value,Input Var2)Feed - Molar Fraction (Mixture) / Benzene,Output Var1)Distillate - Molar Fraction (Liquid 1) / Benzene (),Output Var2)Bottoms - Molar Fraction (Liquid 1) / Benzene (),Input Var3)Feed - Molar Fraction (Vapor) (),Output Var3)QC - Energy Flow (kW),Output Var4)QR - Energy Flow (kW),Input Var4)DCOL-1 - Stage_Temperature_1 (K),Input Var5)DCOL-1 - Stage_Temperature_20 (K)
1.5,0.1,0.262711,1.35E-09,0,412.535,574.198,386.501,411.831
1.5,0.127586,0.323722,1.98E-09,0,412.535,574.198,382.194,411.823
1.5,0.155172,0.384834,3.17E-09,0,412.535,574.198,378.307,411.812
1.5,0.182759,0.438932,3.92E-09,0,412.535,574.198,375.173,411.803
1.5,0.210345,0.494878,5.79E-09,0,412.535,574.198,372.197,411.791
1.5,0.237931,0.544656,6.42E-09,0,412.535,574.198,369.747,411.78
1.5,0.265517,0.593295,6.79E-09,0,412.535,574.198,367.514,411.769
1.5,0.293103,0.644735,9.25E-09,0,412.535,574.198,365.308,411.752
1.5,0.32069,0.691659,9.25E-09,0,412.535,574.198,363.414,411.736
1.5,0.348276,0.741812,1.23E-08,0,412.535,574.198,361.51,411.713
1.5,0.375862,0.791867,1.64E-08,0,412.535,574.198,359.721,411.685
1.5,0.403448,0.791867,1.64E-08,0,412.535,574.198,359.721,411.685
1.5,0.431034,0.791867,1.64E-08,0,412.535,574.198,359.721,411.685
1.5,0.458621,0.791867,1.64E-08,0,412.535,574.198,359.721,411.685
1.5,0.486207,0.791867,1.64E-08,0,412.535,574.198,359.721,411.685
1.5,0.513793,1,0.0380507,0,412.535,574.198,353.317,362.61
1.5,0.541379,1,0.0847226,0,412.535,574.198,353.317,362.196
1.5,0.568966,1,0.127873,0,412.535,574.198,353.317,361.815
1.5,0.596552,1,0.168349,0,412.535,574.198,353.317,361.465
1.5,0.624138,1,0.205962,0,412.535,574.198,353.317,361.138
1.5,0.651724,1,0.241023,0,412.535,574.198,353.317,360.835
1.5,0.67931,1,0.273677,0,412.535,574.198,353.317,360.549
1.5,0.706897,1,0.304423,0,412.535,574.198,353.317,360.285
1.5,0.734483,1,0.333337,0,412.535,574.198,353.317,360.035
1.5,0.762069,1,0.360363,0,412.535,574.198,353.317,359.8
1.5,0.789655,1,0.385791,0,412.535,574.198,353.318,359.58
1.5,0.817241,1,0.409703,0,412.535,574.198,353.318,359.372
1.5,0.844828,1,0.432282,0,412.535,574.198,353.318,359.175
1.5,0.872414,1,0.45358,0,412.535,574.198,353.318,358.989
1.5,0.9,1,0.473664,0,412.535,574.198,353.318,358.813
1.65517,0.1,0.264019,1.11E-09,0,412.535,574.198,386.404,411.834
1.65517,0.127586,0.32519,1.62E-09,0,412.535,574.198,382.096,411.826
1.65517,0.155172,0.386693,2.59E-09,0,412.535,574.198,378.195,411.817
1.65517,0.182759,0.440698,3.19E-09,0,412.535,574.198,375.075,411.809
1.65517,0.210345,0.496894,4.69E-09,0,412.535,574.198,372.094,411.798
1.65517,0.237931,0.546407,5.18E-09,0,412.535,574.198,369.664,411.789
1.65517,0.265517,0.599156,7.22E-09,0,412.535,574.198,367.256,411.775
1.65517,0.293103,0.646067,7.40E-09,0,412.535,574.198,365.249,411.763
1.65517,0.32069,0.696887,1.00E-08,0,412.535,574.198,363.212,411.746
1.65517,0.348276,0.742899,9.77E-09,0,412.535,574.198,361.471,411.73
1.65517,0.375862,0.792954,1.30E-08,0,412.535,574.198,359.684,411.706
1.65517,0.403448,0.792954,1.30E-08,0,412.535,574.198,359.684,411.706
1.65517,0.431034,0.792954,1.30E-08,0,412.535,574.198,359.684,411.706
1.65517,0.458621,0.792954,1.30E-08,0,412.535,574.198,359.684,411.706
1.65517,0.486207,0.792954,1.30E-08,0,412.535,574.198,359.684,411.706
1.65517,0.513793,1,0.0380464,0,412.535,574.198,353.317,362.224
1.65517,0.541379,1,0.0845473,0,412.535,574.198,353.317,361.843
1.65517,0.568966,1,0.128048,0,412.535,574.198,353.317,361.493
1.65517,0.596552,1,0.168274,0,412.535,574.198,353.317,361.165
1.65517,0.624138,1,0.205759,0,412.535,574.198,353.317,360.863
1.65517,0.651724,1,0.240945,0,412.535,574.198,353.317,360.582
