(Input Var1)DCOL-1 - Condenser_Specification_Value,Input Var2)DCOL-1 - Reboiler_Specification_Value,(Output Var1)Distillate - Molar Fraction (Liquid 1) / Benzene (),(Output Var2)Bottoms - Molar Fraction (Liquid 1) / Benzene (),(Output Var3)QC - Energy Flow (kW),(Output Var4)QR - Energy Flow (kW),Input Var3)Feed - Molar Fraction (Vapor) (),Input Var4)DCOL-1 - Stage_Temperature_1 (K),Input Var5)DCOL-1 - Stage_Temperature_20 (K)
1.5,3,0.71781,2.27E-09,412.535,574.198,0,362.41,411.774
1.5,3.13793,0.728728,2.61E-09,412.535,574.198,0,361.995,411.769
1.5,3.27586,0.740247,3.02E-09,412.535,574.198,0,361.567,411.763
1.5,3.41379,0.75239,3.49E-09,412.535,574.198,0,361.126,411.757
1.5,3.55172,0.764724,4.07E-09,412.535,574.198,0,360.677,411.751
1.5,3.68966,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,3.82759,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,3.96552,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,4.10345,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,4.24138,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,4.37931,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,4.51724,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,4.65517,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,4.7931,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,4.93103,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,5.06897,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,5.2069,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,5.34483,0.777729,4.75E-09,412.535,574.198,0,360.214,411.743
1.5,5.48276,1,0.0102642,413.863,575.832,0,353.317,362.822
1.5,5.62069,1,0.0345678,403.234,562.843,0,353.317,362.899
1.5,5.75862,1,0.0576987,392.605,550.08,0,353.317,362.981
1.5,5.89655,1,0.0796258,381.975,537.524,0,353.317,363.062
1.5,6.03448,1,0.100779,371.346,525.12,0,353.317,363.149
1.5,6.17241,1,0.120729,360.717,512.89,0,353.317,363.233
1.5,6.31034,1,0.140083,350.087,500.775,0,353.317,363.322
1.5,6.44828,1,0.158485,339.458,488.787,0,353.317,363.411
1.5,6.58621,1,0.175955,328.829,476.913,0,353.317,363.498
1.5,6.72414,1,0.192893,318.199,465.126,0,353.317,363.589
1.5,6.86207,1,0.209237,307.57,453.422,0,353.317,363.682
1.5,7,1,0.22475,296.941,441.794,0,353.317,363.777
1.65517,3,0.720203,1.93E-09,296.941,441.794,0,362.319,411.782
1.65517,3.13793,0.731263,2.22E-09,296.941,441.794,0,361.904,411.777
1.65517,3.27586,0.742608,2.55E-09,296.941,441.794,0,361.481,411.772
1.65517,3.41379,0.754692,2.94E-09,296.941,441.794,0,361.042,411.767
1.65517,3.55172,0.767115,3.40E-09,296.941,441.794,0,360.594,411.761
1.65517,3.68966,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,3.82759,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,3.96552,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,4.10345,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,4.24138,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,4.37931,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,4.51724,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,4.65517,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,4.7931,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,4.93103,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,5.06897,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,5.2069,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,5.34483,0.780081,3.96E-09,296.941,441.794,0,360.134,411.755
1.65517,5.48276,1,0.0102392,439.552,601.524,0,353.317,362.418
1.65517,5.62069,1,0.0344631,428.262,587.882,0,353.317,362.499
1.65517,5.75862,1,0.0576782,416.973,574.448,0,353.317,362.587
1.65517,5.89655,1,0.0796283,405.684,561.233,0,353.317,362.672
1.65517,6.03448,1,0.100758,394.395,548.172,0,353.317,362.764
1.65517,6.17241,1,0.120717,383.106,535.281,0,353.317,362.853
1.65517,6.31034,1,0.140065,371.817,522.507,0,353.317,362.946
1.65517,6.44828,1,0.158302,360.528,509.866,0,353.317,363.04
1.65517,6.58621,1,0.175963,349.239,497.325,0,353.317,363.134
1.65517,6.72414,1,0.192835,337.95,484.876,0,353.317,363.232
1.65517,6.86207,1,0.209073,326.661,472.516,0,353.317,363.329
1.65517,7,1,0.22482,315.372,460.225,0,353.317,363.43
1.81034,3,0.722551,1.67E-09,315.372,460.225,0,362.229,411.788
1.81034,3.13793,0.733509,1.90E-09,315.372,460.225,0,361.817,411.784
1.81034,3.27586,0.744935,2.18E-09,315.372,460.225,0,361.394,411.78
1.81034,3.41379,0.756999,2.51E-09,315.372,460.225,0,360.958,411.776
1.81034,3.55172,0.769236,2.89E-09,315.372,460.225,0,360.515,411.77
1.81034,3.68966,0.782126,3.35E-09,315.372,460.225,0,360.058,411.765
1.81034,3.82759,0.782126,3.35E-09,315.372,460.225,0,360.058,411.765
