(Input Var1)Condenser_Specification_Value,(Input Var2)Temperature (K),(Output Var1)Distillate - Molar Fraction (Liquid 1) / Benzene (),(Output Var2)QC - Energy Flow (kW),(Output Var3)QR - Energy Flow (kW),(Output Var4)Bottoms - Molar Fraction (Liquid 1) / Benzene (),(Input Var3)Feed - Molar Fraction (Vapor) (),(Input Var4)Stage_Temperature_1 (K),(Input Var5) Stage_Temperature_20 (K)
1.5,298,1,412.535,574.442,0.0133481,0,353.317,362.826
1.5,301.517,1,412.535,568.694,0.0133567,0,353.317,362.921
1.5,305.034,1,412.535,562.895,0.0133602,0,353.317,363.02
1.5,308.552,1,412.535,557.045,0.0133737,0,353.317,363.121
1.5,312.069,1,412.535,551.155,0.0132929,0,353.317,363.223
1.5,315.586,1,412.535,545.206,0.0132873,0,353.317,363.329
1.5,319.103,1,412.535,539.206,0.0132755,0,353.317,363.439
1.5,322.621,1,412.535,533.155,0.0132712,0,353.317,363.551
1.5,326.138,1,412.535,527.04,0.0133526,0,353.317,363.671
1.5,329.655,1,412.535,520.881,0.0133648,0,353.317,363.792
1.5,333.172,1,412.535,514.681,0.0132896,0,353.317,363.916
1.5,336.69,1,412.535,508.421,0.0132838,0,353.317,364.043
1.5,340.207,1,412.535,502.108,0.0132687,0,353.317,364.175
1.5,343.724,1,412.535,495.73,0.0133595,0,353.317,364.316
1.5,347.241,1,412.535,489.317,0.0133038,0,353.317,364.455
1.5,350.759,1,412.535,482.845,0.0132889,0,353.317,364.601
1.5,354.276,1,412.535,476.307,0.0133762,0,353.317,364.757
1.5,357.793,1,412.535,469.728,0.0133649,0,353.317,364.913
1.5,361.31,1,412.535,463.091,0.0133824,0,353.317,365.076
1.5,364.828,1,412.535,456.403,0.0133741,0,353.317,365.244
1.5,368.345,1,412.535,449.668,0.0132923,0,353.317,365.417
1.5,371.862,1,412.535,442.869,0.0132923,0,353.317,365.598
1.5,375.379,1,412.535,442.869,0.0132923,0.174676,353.317,365.598
1.5,378.897,1,412.535,442.869,0.0132923,0.324689,353.317,365.598
1.5,382.414,1,412.535,442.869,0.0132923,0.463553,353.317,365.598
1.5,385.931,1,412.535,442.869,0.0132923,0.604735,353.317,365.598
1.5,389.448,1,412.535,137.215,0.0133288,0.762021,353.317,388.573
1.5,392.966,1,412.535,137.215,0.0133288,0.954088,353.317,388.573
1.5,396.483,1,412.535,137.215,0.0133288,1,353.317,388.573
1.5,400,1,412.535,137.215,0.0133288,1,353.317,388.573
1.65517,298,1,438.14,600.055,0.0132847,0,353.317,362.423
1.65517,301.517,1,438.14,594.308,0.013282,0,353.317,362.509
1.65517,305.034,1,438.14,588.512,0.0132693,0,353.317,362.599
1.65517,308.552,1,438.14,582.656,0.013342,0,353.317,362.693
1.65517,312.069,1,438.14,576.756,0.0133467,0,353.317,362.788
1.65517,315.586,1,438.14,570.805,0.0133545,0,353.317,362.886
1.65517,319.103,1,438.14,564.802,0.0133595,0,353.317,362.987
1.65517,322.621,1,438.14,558.748,0.013372,0,353.317,363.091
1.65517,326.138,1,438.14,552.651,0.0132939,0,353.317,363.197
1.65517,329.655,1,438.14,546.496,0.0132876,0,353.317,363.306
1.65517,333.172,1,438.14,540.288,0.0132763,0,353.317,363.419
1.65517,336.69,1,438.14,534.028,0.0132718,0,353.317,363.535
1.65517,340.207,1,438.14,527.704,0.0133506,0,353.317,363.659
1.65517,343.724,1,438.14,521.336,0.0133624,0,353.317,363.783
1.65517,347.241,1,438.14,514.924,0.0132896,0,353.317,363.91
1.65517,350.759,1,438.14,508.452,0.0132772,0,353.317,364.043
1.65517,354.276,1,438.14,501.917,0.0133499,0,353.317,364.182
1.65517,357.793,1,438.14,495.334,0.0133555,0,353.317,364.325
1.65517,361.31,1,438.14,488.708,0.0132811,0,353.317,364.469
1.65517,364.828,1,438.14,482.011,0.013351,0,353.317,364.623
